MARCA,COMBUSTIVEL,TURBO,NRPORTAS,TIPO,TRACAO,POSMOTOR,PESO,NRCILINDROS,POTENCIA,RPM,VALOR,ANO,ORIGEM
Ford,Gasolina,Sim,4,Hatch,Traseira,Traseira,1500,4,200,5000,25000,2022,EUA
Ford,Gasolina,Sim,4,Sedan,Traseira,Traseira,1500,4,200,5000,25000,2022,EUA
Ford,Alcool,Não,5,SUV,Integral,Traseira,2000,6,250,5500,35000,2023,EUA
Ford,Gasolina,Sim,2,Esportivo,Traseira,Traseira,1800,4,300,6000,40000,2021,EUA
Ford,Alcool,Não,4,SUV,Traseira,Dianteira,1400,3,150,4500,30000,2022,EUA
Ford,Elétrico,Sim,2,SUV,Traseira,Traseira,1700,4,350,5500,50000,2023,EUA
Ford,Gasolina,Não,4,Roadster,Traseira,Dianteira,2000,4,300,5500,60000,2022,EUA
Ford,Gasolina,Não,2,Coupe,Traseira,Traseira,1500,6,400,6000,70000,2023,EUA
Chevrolet,Gasolina,Não,2,Esportivo,Traseira,Transversal,1600,6,300,6000,50000,2021,EUA
Chevrolet,Gasolina,Sim,4,Esportivo,Dianteira,Transversal,1600,4,180,5000,22000,2021,EUA
Chevrolet,Alcool,Sim,2,Esportivo,Traseira,Transversal,1700,6,320,6000,45000,2022,EUA
Chevrolet,Gasolina,Não,5,Roadster,Integral,Transversal,1900,4,250,5500,30000,2023,EUA
Chevrolet,Alcool,Sim,4,Roadster,Dianteira,Transversal,1500,3,160,4500,28000,2021,EUA
Chevrolet,Elétrico,Não,2,Coupe,Traseira,Transversal,1600,4,300,5500,55000,2022,EUA
Chevrolet,Gasolina,Não,4,Esportivo,Dianteira,Transversal,1400,4,150,5500,25000,2021,EUA
Chevrolet,Gasolina,Não,2,Coupe,Traseira,Transversal,1600,6,250,6000,30000,2022,EUA
Tesla,Elétrico,Não,4,Sedan,Traseira,Traseira,1800,0,450,5000,80000,2023,EUA
Tesla,Hidrogênio,Sim,4,Sedan,Traseira,Traseira,1800,0,200,5500,80000,2022,EUA
Tesla,Elétrico,Não,4,Sedan,Traseira,Traseira,1800,0,350,6000,50000,2022,EUA
Tesla,Elétrico,Não,2,Coupe,Traseira,Traseira,1700,0,150,6500,60000,2023,EUA
Tesla,Elétrico,Sim,4,Roadster,Integral,Traseira,1900,0,250,5500,70000,2022,EUA
Tesla,Elétrico,Sim,2,Roadster,Traseira,Traseira,1600,0,250,7000,120000,2023,EUA
Tesla,Elétrico,Não,4,Roadster,Dianteira,Traseira,1500,0,100,5000,40000,2021,EUA
Audi,Alcool,Sim,2,Esportivo,Traseira,Traseira,1500,4,150,5000,55000,2022,Alemanha
Audi,Gasolina,Não,4,Sedan,Integral,Traseira,1600,4,200,5500,40000,2022,Alemanha
Audi,Alcool,Sim,5,Roadster,Integral,Traseira,1800,4,200,6000,50000,2023,Alemanha
Audi,Gasolina,Sim,2,Coupe,Traseira,Traseira,1500,6,300,6500,60000,2022,Alemanha
Audi,Elétrico,Não,4,Sedan,Dianteira,Traseira,1400,4,150,5000,35000,2021,Alemanha
Audi,Gasolina,Sim,4,Hatch,Dianteira,Traseira,1300,3,120,4500,30000,2020,Alemanha
BMW,Gasolina,Não,2,Coupe,Traseira,Transversal,1600,4,300,5500,25000,2022,Alemanha
BMW,Alcool,Sim,4,Sedan,Integral,Transversal,1800,4,400,6000,25000,2023,Alemanha
BMW,Elétrico,Sim,4,Roadster,Integral,Transversal,2000,6,300,6500,60000,2022,Alemanha
BMW,Alcool,Não,4,Sedan,Dianteira,Transversal,1500,4,250,5500,10000,2021,Alemanha
BMW,Elétrico,Sim,4,Hatch,Dianteira,Transversal,1400,3,400,5000,30000,2020,Alemanha
BMW,Gasolina,Sim,4,Sedan,Traseira,Transversal,1600,4,250,6000,15000,2022,Alemanha
Toyota,Gasolina,Não,4,Sedan,Dianteira,Dianteira,1500,4,120,5500,25000,2022,Japão
Toyota,Alcool,Sim,5,Sedan,Integral,Dianteira,1800,4,180,6000,40000,2023,Japão
Toyota,Elétrico,Sim,2,Coupe,Traseira,Dianteira,1400,4,200,6500,35000,2022,Japão
Toyota,Alcool,Não,4,Sedan,Dianteira,Dianteira,1600,4,130,5000,30000,2021,Japão
Toyota,Elétrico,Sim,4,Sedan,Dianteira,Dianteira,1200,3,110,4500,20000,2020,Japão
Toyota,Elétrico,Não,4,Sedan,Dianteira,Dianteira,1700,4,150,5500,28000,2022,Japão
Toyota,Alcool,Sim,5,Coupe,Integral,Dianteira,1900,4,200,6000,45000,2023,Japão
Toyota,Gasolina,Sim,2,Coupe,Transversal,Dianteira,1300,4,180,6500,32000,2022,Japão
Toyota,Alcool,Não,4,Sedan,Dianteira,Dianteira,1500,4,140,5000,27000,2021,Japão
Toyota,Gasolina,Sim,4,Sedan,Dianteira,Dianteira,1100,3,100,4500,18000,2020,Japão
